project_name,github_link,readme_installation_score,readme_quality_score,commit_activity_score,total_score,readme_installation_comments,readme_quality_comments,commit_activity_comments
arhansuba/ic-paymaster,https://github.com/arhansuba/ic-paymaster,4,3,1,8,"The README provides a decent overview of the installation process, but it could be more detailed. The steps to install the frontend dependencies are clearly listed, but there is no mention of how to install the dependencies for the smart contracts or the backend. Additionally, there is no clear explanation of any prerequisites required for installation. Overall, the installation steps are present, but could be more comprehensive.","The README file is generally understandable, but it could benefit from better organization and formatting. Here are some specific areas for improvement:",No commits found during hackathon period.
arhansuba/ic-don,https://github.com/arhansuba/ic-don,4,3,1,8,"The README provides a good starting point for installation, but some details are missing. The step-by-step installation guide is clear, but it only includes the first step, which is cloning the repository. The instructions do not mention how to set up the dependencies, environment, or any other necessary steps. Additionally, there is no information on how to run the project or what prerequisites are required. The reader is left to figure out the rest on their own. Overall, the installation instructions are good, but could be more detailed and comprehensive.","The README file is generally clear and provides a good overview of the project, but it could benefit from better organization and formatting. Here are some specific observations:",No commits found during hackathon period.
https://github.com/arhansuba,https://github.com/arhansuba,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
https://gitlab.com/metastrike/metadrop/mobile-web,https://gitlab.com/metastrike/metadrop/mobile-web,0,0,0,0,Error during evaluation: Invalid GitHub URL: https://gitlab.com/metastrike/metadrop/mobile-web,Error during evaluation: Invalid GitHub URL: https://gitlab.com/metastrike/metadrop/mobile-web,Error during evaluation: Invalid GitHub URL: https://gitlab.com/metastrike/metadrop/mobile-web
CalebKiragu/coinmeadow-haven,https://github.com/CalebKiragu/coinmeadow-haven,4,4,1,9,"The README provides a good starting point for getting started with the project. However, the installation steps are somewhat brief and could benefit from more detail. The instructions only cover cloning the repository, installing dependencies, and starting the development server, but there is no information on setting up the environment, configuring the project, or running the platform. Additionally, the README does not explicitly mention any prerequisites, such as the need for a specific version of Node.js or a compatible blockchain setup. While the basics are present, more clarity and detail would be appreciated to make the installation process smoother for new users.",No quality assessment provided.,No commits found during hackathon period.
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
team-tempest/susbot-frontend-final,https://github.com/team-tempest/susbot-frontend-final,3,0,3,6,"The README provides a basic overview of how to install the project, but it could be more detailed. It mentions that the project requires ""some dependencies"" and provides a short list of them, but it doesn't specify how to install them. The installation steps are also very high-level, such as ""clone the repository"" and ""run the script"". While this is better than having no installation instructions at all, a more detailed guide would be helpful for users who are new to the project. Overall, the README does a decent job of providing basic installation information, but could be improved with more specific details.",No quality assessment provided.,"The project has a total of 18 commits during the hackathon period, which is a decent amount of activity. However, the recent commit messages suggest that most of these commits are related to updating the deploy.yml file, which may not indicate significant project development. The commit messages are also quite similar, indicating that the same task was repeated multiple times. While there are some commits, the consistency of development activity is not very high. Overall, the commit activity is fair, but could be more active and meaningful."
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
https://github.com/Lavisha-S,https://github.com/Lavisha-S,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
seaver-choy/aerena,https://github.com/seaver-choy/aerena,3,4,1,8,"The README provides a basic overview of the setup, including the use of official plugins and some ESLint configuration options. However, it does not provide step-by-step installation instructions. The reader is expected to have some prior knowledge of React, TypeScript, and Vite, and is left to figure out how to install the dependencies and configure the project. While the README does list some dependencies, it does not provide a clear list of required dependencies or instructions on how to install them. Overall, the README provides a good starting point, but the installation process is not clearly outlined.","The README file is generally well-structured and easy to follow, with clear explanations and concise instructions. The use of headers (#) helps to break up the content into logical sections, making it easy to navigate. The formatting is consistent, and the code snippets are properly indented and formatted.",No commits found during hackathon period.
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
Webwifa/OnChainScore,https://github.com/Webwifa/OnChainScore,4,4,1,9,"The README provides clear step-by-step installation instructions, which is excellent. However, it could be improved by providing more details on the dependencies and their versions. For example, which version of npm is required? Are there any specific library requirements? Additionally, it would be helpful to provide a brief overview of the installation process, such as a high-level description of what each step does. Overall, the installation instructions are easy to follow, and the project seems to be well-organized.","The README provides a clear overview of the OnChainScore project, its features, and benefits. The structure is generally good, with clear headings and subheadings that break down the content into manageable sections. The writing is professional, and the use of emojis adds a touch of personality to the text.","Unfortunately, there was only 1 commit during the entire hackathon period, which is a very low activity. The commit message is detailed and suggests that the team made significant progress, but the lack of other commits during this period is a major red flag."
YoussufSalah/preppal,https://github.com/YoussufSalah/preppal,1,4,3,8,"This README file does not provide any installation steps or instructions. The content seems to be focused on explaining the estimated generation capabilities of the AI system, but there is no information on how to use the system or install it. The file assumes a prior understanding of the system and its functionality, which may not be the case for new users.","The README is generally clear and well-organized, making it easy to follow and understand the estimated generation capabilities of the AI system. The use of headers, bold text, and concise paragraphs helps to break up the content and make it scannable. The explanations are clear, and the assumptions are well-defined.","The project has a moderate level of commit activity during the hackathon period, with a total of 145 commits. The recent commit messages indicate that the developer has been focusing on fixing issues, updating the sub status, adding a streak feature, and removing some inactive code. While the commit frequency is decent, the quality of the commit messages could be improved by providing more context or details about the changes made. The consistency of development activity is also average, with some commits spread throughout the hackathon period but not consistently every day. Overall, the project shows some signs of development, but could benefit from more frequent and meaningful commits."
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
utkarsh1507/ICP_AI_Agent,https://github.com/utkarsh1507/ICP_AI_Agent,4,4,4,12,"The README provides a clear step-by-step installation guide for deploying the project locally. The instructions are well-organized and easy to follow. The dependencies are not explicitly listed, but it's clear that the project requires Rust, TypeScript, and Vite dependencies, which are mentioned in the file structure. The README also mentions prerequisites for the DFX Local Server and Internet Identity Canister.","The README file is generally well-structured and clear, with a good balance of concise explanations and technical details. The use of headers, bold text, and emojis helps to break up the content and make it more visually appealing. The organization is logical, with clear sections for the project's vision, key problems addressed, key features, and project structure.","The project has a decent number of commits (42) during the hackathon period, which indicates some level of development activity. The recent commit messages suggest that the team is working on frontend changes, UI progress, and prompts passing with API, which are all meaningful contributions to the project. While there are some merge pull requests, they are not the only type of commit, which indicates that the team is actively developing the project. However, the commit messages could be more descriptive and provide more context about the changes made, which would improve the overall quality of the commit history. Overall, the project shows good development activity during the hackathon period, but could benefit from more detailed commit messages."
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
Ano-ly/Vote_Secure,https://github.com/Ano-ly/Vote_Secure,4,4,2,10,"The README provides a good starting point for installing VoteSecure, but some details could be made more explicit. The instructions are clear, but the process is not broken down into smaller, manageable steps. Additionally, the installation of dfx is not fully explained, and the user is referred to an external link. It would be beneficial to include more context or a brief explanation of what dfx is and why it's necessary. Overall, the README provides a good foundation for installation, but some improvements could be made to make it more user-friendly and detailed.","The README file is generally clear and well-structured, with a good flow of information. The team introduction and motivation/problem statement sections effectively set the context for the project. The technical details and instructions for running the project locally are also well-organized and easy to follow.","The project has only 3 commits during the entire hackathon period, which is a very low activity. The commit messages are also very generic and repetitive, indicating that most of the commits are minor changes. There is no evidence of significant project development or meaningful changes during this period. The consistency of development activity is also poor, with only three commits scattered throughout the hackathon period. Overall, the commit activity is very poor, and the project should aim to increase its development activity to show actual progress."
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
https://github.com/Muskan23115,https://github.com/Muskan23115,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
Ojo-Oluwagbenga/openbox,https://github.com/Ojo-Oluwagbenga/openbox.git,1,1,1,3,"This README file does not provide any installation steps or dependencies listed. The file is simply titled ""# report_manager"" without any content or instructions. It is unclear what the project is or how to install it.","The README file is severely lacking in clarity, structure, and grammatical quality. The lack of formatting (e.g., no proper header, inconsistent spacing) makes it difficult to read and understand. The title ""# report_manager"" is not descriptive and does not suggest what the file contains or what the project is about. Without further information or context, it is impossible to assess the clarity of explanations or the professional presentation of the file. The file is essentially a blank slate, with no indication of what it is intended to convey.",No commits found during hackathon period.
iNextAi/AI-TUTOR,https://github.com/iNextAi/AI-TUTOR,3,0,1,4,"The README provides a good overview of how to install and run the project, but it could be more detailed. The installation steps are not explicitly listed, but the reader can infer the process from the provided information. However, some dependencies and prerequisites are not clearly mentioned, which might cause confusion for new users. Overall, the README provides a basic understanding of how to install and run the project, but it could be improved with more specific and detailed instructions.",No quality assessment provided.,No commits found during hackathon period.
kentryanentice/primelendrow,https://github.com/kentryanentice/primelendrow,4,4,1,9,"The README provides a good overview of how to get started with the `primelendrow` project, including a brief introduction to the project and its purpose. The installation steps are presented in a clear and concise manner, with instructions on how to start the replica, deploy the canisters, and run the development server. However, I would like to see more detail on the dependencies required to run the project, as well as a more explicit step-by-step guide for installing the necessary tools (e.g., `dfx` and `npm`). Additionally, the README could benefit from a more organized structure, with clear headings and sections to make it easier to navigate. Overall, the README provides a good foundation for getting started with the project, but could be improved with more detail and organization.","The README file is generally clear and well-structured, with a clear introduction to the project and its purpose. The use of headers and formatting is good, making it easy to follow the different sections. The explanations are clear and concise, and the code snippets are helpful in illustrating the different commands and processes.",No commits found during hackathon period.
Graduation-project-25/UXPert,https://github.com/Graduation-project-25/UXPert,2,4,1,7,"Unfortunately, this README file does not provide clear installation steps for the project. While it provides a detailed overview of the features, tech stack, and how the plugin works, it does not give instructions on how to set up and run the project. The reader is left wondering what dependencies are required, how to install the plugin, and what prerequisites need to be met before using the Figma UX Review Assistant. A basic overview of the installation process would be sufficient to earn a score of 3 or above.","The README file is well-structured and easy to follow, with clear headings and a logical flow. The use of emojis and concise descriptions for each feature and component helps to make the content engaging and easy to understand. However, there are a few areas where the writing could be improved for clarity and professionalism.",No commits found during hackathon period.
RSN601KRI/Budgetlyzer,https://github.com/RSN601KRI/Budgetlyzer,4,4,1,9,"The README provides a clear overview of the project's features, tech stack, and use cases. The installation steps are present, but they could be more detailed. Specifically:","The README file is generally well-structured and easy to follow. The use of headers, bold text, and emojis adds a professional touch and makes it visually appealing. The content is organized into clear sections, and the language is concise and clear.",No commits found during hackathon period.
https://github.com/FloodDataSync,https://github.com/FloodDataSync,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
bkshukla91/Halo-CME-WebApp,https://github.com/bkshukla91/Halo-CME-WebApp,2,4,3,9,"The README provides a good overview of the project, its features, and the technologies used. However, it lacks clear installation steps and dependencies. The reader is left wondering how to install and run the project. The existence of hosting options (Render, Railway, or any Flask-compatible platform) is mentioned, but it's unclear how to actually deploy the application. To improve the README, the installation steps should be clearly outlined, and the dependencies should be listed.","The README file is generally well-written and easy to follow. The introduction provides a clear overview of the project, and the subsequent sections provide a good breakdown of the technologies used and the features of the web application.","The project has a total of 7 commits during the hackathon period, which is a moderate number. However, the recent commit messages suggest that the development activity is not particularly consistent or meaningful. The messages consist of a mix of creating and deleting files, with only one commit mentioning adding files via upload. This lack of clear direction and focus in the commit messages drags down the score. Overall, the commit activity is fair, but with opportunities for improvement."
Banti4750/Stake-Sol,https://github.com/Banti4750/Stake-Sol,3,4,4,11,"The README includes a brief mention of the installation process, but it's not a step-by-step guide. The task is simply stated as ""Install"", without providing any specific instructions. However, the README does mention that the project requires Python 3.6+ and a compatible IDE. While this is a good start, a more detailed installation guide would be beneficial for users who are new to the project. Adding specific commands or steps for installing dependencies would make the installation process easier to follow.","The README provides a good overview of the project's key takeaways, and the structure is generally clear. The use of headers and formatting is effective in breaking up the content into manageable sections. However, there are some minor issues that prevent me from giving it a perfect score.","The project has a decent number of commits (16) during the hackathon period, indicating some level of development activity. The commit messages also seem to be meaningful, with some refactoring and updates to the project. The consistency of development activity is somewhat variable, with a few commits on some days and none on others. However, the overall quality of the commits is good, indicating that the team is actively working on the project."
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
JonathanMaverick/DContest,https://github.com/JonathanMaverick/DContest,4,4,1,9,"The README provides a good overview of how to run the project, with clear step-by-step instructions for both running the project locally and running the AI service locally. The dependencies are listed, and the prerequisites (such as Python installation) are mentioned. The installation process is easy to follow, and the notes provided are helpful. However, the instructions could be more detailed, especially for those who are new to the project or unfamiliar with the technologies used. Additionally, the README could benefit from a more concise summary of the installation process at the top, to quickly guide the reader through the steps.","The README file is generally well-structured and easy to follow, with clear headings and concise sections. The use of headers and formatting is good, making it easy to navigate the content. The explanations are clear and concise, and the instructions for running the project locally are detailed and easy to understand.",No commits found during hackathon period.
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
https://github.com/Satsurance,https://github.com/Satsurance,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
danielabrahamx/Paramify,https://github.com/danielabrahamx/Paramify,4,4,1,9,"The README provides a good overview of the project, including its features, architecture, and prerequisites. The Quick Start section is particularly useful, as it offers a step-by-step guide to deploying the project locally. However, the instructions could be more detailed, especially for those new to blockchain development. For example, the README assumes that readers already have MetaMask and Hardhat installed, which may not be the case. Additionally, the instructions for deploying the contracts and funding the contract could be broken down into more explicit steps. Overall, the README provides a good foundation for installation, but could benefit from further clarification and detail.","The README file is generally well-structured and easy to follow. The introduction provides a clear overview of the project, and the subsequent sections provide detailed information on the features, prerequisites, and deployment process. The use of headers and formatting is good, making it easy to navigate the document.",No commits found during hackathon period.
kootie/dev-equity-flow,https://github.com/kootie/dev-equity-flow,3,0,1,4,"The README provides a basic overview of how to install and run the project, but it could be more detailed. The steps are not explicitly listed, but the reader can infer the process from the text. The dependencies are not clearly listed, but the project's requirements are mentioned. The README assumes some basic knowledge of the project's tools and technologies, but it does not provide a comprehensive guide for new users. Overall, the README is sufficient for users who are familiar with the project, but new users may find it unclear or incomplete.",No quality assessment provided.,No commits found during hackathon period.
,,0,0,0,0,Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith',Error during evaluation: 'float' object has no attribute 'endswith'
FathanAkram-app/BitSub,https://github.com/FathanAkram-app/BitSub,4,0,4,8,"The README provides a good overview of the project, its features, and architecture. However, the installation steps are somewhat scattered and could be more detailed. The project relies on prerequisites such as DFX and Node.js, which are listed, but the setup process is described in a single script (`./scripts/auto-deploy.sh`) without further explanation. While this script is likely sufficient for setting up the project, it would be beneficial to provide a separate section dedicated to installation steps, including any necessary configuration or environment setup. Additionally, some dependencies, such as the React application, are not explicitly listed. Overall, the README provides a solid foundation, but could benefit from more detailed and organized installation instructions.","The README file is generally well-organized and easy to follow, with clear headings and subheadings. The use of formatting, such as code blocks and emojis, is helpful in breaking up the text and making it more readable. The explanations of the project's features and components are clear, and the inclusion of examples and code snippets is useful for developers.","The project has a decent number of commits (13) during the hackathon period, which indicates some level of development activity. The recent commit messages suggest a focus on updating and improving the project, such as updating the plan_id ID to UUID, making UI enhancements, and fixing real-time updates. Although the commit messages could be more descriptive, they do indicate meaningful changes to the project."
